latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
7.80942,81.36557,334.4,0.77,0.77,2026-08-30,705,N20,VIIRS,n,2.0NRT,298.28,8.5,D
7.89105,81.46039,336.39,0.76,0.77,2026-08-30,705,N20,VIIRS,n,2.0NRT,298.51,5.88,D
7.89295,81.46114,334.69,0.76,0.77,2026-08-30,705,N20,VIIRS,n,2.0NRT,298.57,6.87,D
14.50168,79.70076,336.4,0.74,0.76,2026-08-30,707,N20,VIIRS,n,2.0NRT,289.36,6.06,D
14.50181,79.70016,338.54,0.74,0.76,2026-08-30,707,N20,VIIRS,n,2.0NRT,289.82,4.28,D
23.55893,87.23925,343.58,0.5,0.41,2026-08-30,709,N20,VIIRS,n,2.0NRT,291.53,14.28,D
23.64829,85.43843,333.96,0.42,0.45,2026-08-30,709,N20,VIIRS,n,2.0NRT,288.41,6.73,D
23.76081,86.4027,330.6,0.55,0.43,2026-08-30,709,N20,VIIRS,n,2.0NRT,289.95,7.03,D
23.80394,86.33237,333.77,0.55,0.43,2026-08-30,709,N20,VIIRS,n,2.0NRT,289.02,3.43,D
27.98966,94.22114,339.7,0.48,0.4,2026-08-30,709,N20,VIIRS,n,2.0NRT,298.03,6.97,D
28.1259,95.46807,330.19,0.56,0.43,2026-08-30,709,N20,VIIRS,n,2.0NRT,294.91,3.18,D
28.92377,86.34815,330.88,0.47,0.39,2026-08-30,709,N20,VIIRS,n,2.0NRT,295.39,2.55,D
29.1543,88.47652,329.13,0.4,0.37,2026-08-30,709,N20,VIIRS,n,2.0NRT,298.29,2.38,D
29.16352,88.53256,331.57,0.4,0.37,2026-08-30,709,N20,VIIRS,n,2.0NRT,294.68,2.7,D
29.29201,88.86295,326.13,0.39,0.36,2026-08-30,709,N20,VIIRS,n,2.0NRT,292.93,3.33,D
29.55622,90.99968,330.68,0.39,0.36,2026-08-30,709,N20,VIIRS,n,2.0NRT,300.0,6.43,D
29.63485,90.98108,335.89,0.39,0.36,2026-08-30,709,N20,VIIRS,n,2.0NRT,295.11,2.08,D
29.63542,90.98508,335.78,0.39,0.36,2026-08-30,709,N20,VIIRS,n,2.0NRT,293.8,2.08,D
29.64221,87.67156,334.86,0.41,0.37,2026-08-30,712,N20,VIIRS,n,2.0NRT,296.06,2.91,D
6.45568,81.09361,334.67,0.5,0.66,2026-08-30,845,N20,VIIRS,n,2.0NRT,293.3,3.95,D
6.4563,81.09817,344.88,0.5,0.66,2026-08-30,845,N20,VIIRS,n,2.0NRT,293.53,3.95,D
6.70969,81.53863,367.0,0.54,0.68,2026-08-30,845,N20,VIIRS,h,2.0NRT,297.26,10.26,D
6.77071,81.56642,334.0,0.54,0.68,2026-08-30,845,N20,VIIRS,n,2.0NRT,296.59,3.45,D
6.81459,81.52832,336.07,0.54,0.68,2026-08-30,845,N20,VIIRS,n,2.0NRT,295.82,2.36,D
7.10899,81.68916,334.5,0.56,0.69,2026-08-30,845,N20,VIIRS,n,2.0NRT,295.59,7.81,D
7.27461,81.65147,340.35,0.56,0.69,2026-08-30,845,N20,VIIRS,n,2.0NRT,298.25,9.0,D
7.27653,81.15067,338.24,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,298.86,5.03,D
7.31452,81.10784,338.34,0.52,0.66,2026-08-30,845,N20,VIIRS,n,2.0NRT,298.37,4.17,D
7.33402,81.20899,342.35,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,299.5,7.18,D
7.33465,81.2114,337.87,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,299.07,7.71,D
7.34516,81.19805,334.52,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,300.05,8.43,D
7.34572,81.20043,332.08,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,299.65,5.8,D
7.3532,81.20939,331.91,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,298.12,6.25,D
7.40399,81.77965,331.31,0.57,0.69,2026-08-30,845,N20,VIIRS,n,2.0NRT,294.64,3.79,D
7.41334,81.2877,338.92,0.53,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,298.88,2.27,D
7.61477,81.15652,351.21,0.52,0.67,2026-08-30,845,N20,VIIRS,n,2.0NRT,300.57,111.8,D
7.61601,81.16604,367.0,0.53,0.67,2026-08-30,845,N20,VIIRS,h,2.0NRT,300.12,50.36,D
7.8102,81.4497,344.67,0.55,0.68,2026-08-30,845,N20,VIIRS,n,2.0NRT,301.06,6.8,D
7.81421,81.45215,354.59,0.55,0.68,2026-08-30,845,N20,VIIRS,n,2.0NRT,300.54,8.01,D
8.88266,77.78847,339.64,0.32,0.55,2026-08-30,845,N20,VIIRS,n,2.0NRT,291.16,1.91,D
8.93221,77.96577,367.0,0.33,0.55,2026-08-30,845,N20,VIIRS,h,2.0NRT,293.15,8.66,D
9.11021,77.77234,350.61,0.32,0.55,2026-08-30,845,N20,VIIRS,n,2.0NRT,288.69,4.69,D
9.44333,77.66908,335.62,0.32,0.55,2026-08-30,845,N20,VIIRS,n,2.0NRT,277.88,3.8,D
9.4436,77.67059,330.78,0.32,0.55,2026-08-30,845,N20,VIIRS,n,2.0NRT,276.36,3.65,D
9.44872,77.67133,331.78,0.32,0.55,2026-08-30,845,N20,VIIRS,n,2.0NRT,278.81,3.88,D
9.99573,77.29134,349.42,0.62,0.54,2026-08-30,845,N20,VIIRS,n,2.0NRT,294.98,9.26,D
21.10281,72.6347,341.97,0.43,0.46,2026-08-30,850,N20,VIIRS,n,2.0NRT,297.24,5.36,D
21.1033,72.63883,334.9,0.43,0.46,2026-08-30,850,N20,VIIRS,n,2.0NRT,296.27,5.36,D
21.10428,72.64712,347.97,0.43,0.46,2026-08-30,850,N20,VIIRS,n,2.0NRT,298.8,9.54,D
25.29089,68.31947,331.29,0.43,0.38,2026-08-30,852,N20,VIIRS,l,2.0NRT,302.58,1.92,D
27.3954,71.0371,343.46,0.41,0.45,2026-08-30,852,N20,VIIRS,n,2.0NRT,301.58,4.08,D
27.39587,71.04128,339.04,0.41,0.45,2026-08-30,852,N20,VIIRS,n,2.0NRT,300.97,3.65,D
27.91149,68.73803,335.11,0.48,0.4,2026-08-30,852,N20,VIIRS,l,2.0NRT,306.8,6.16,D
28.60951,68.63565,340.94,0.48,0.4,2026-08-30,852,N20,VIIRS,l,2.0NRT,311.4,10.18,D
29.89493,69.47095,338.67,0.55,0.42,2026-08-30,852,N20,VIIRS,n,2.0NRT,313.66,4.6,D
30.49334,73.83079,367.0,0.33,0.55,2026-08-30,852,N20,VIIRS,h,2.0NRT,296.72,12.23,D
31.57862,74.81806,332.74,0.39,0.59,2026-08-30,852,N20,VIIRS,n,2.0NRT,293.89,3.13,D
